,link,max_salary,min_salary,site,title
43,https://spb.hh.ru/vacancy/37386502?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,700бел.руб.,https://hh.ru,Менеджер по продажам
44,https://spb.hh.ru/vacancy/37283595?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,900000KZT,300000KZT,https://hh.ru,Риелтор по продажам первичной/вторичной недвижимости
45,https://spb.hh.ru/vacancy/37337706?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,1400бел.руб.,800бел.руб.,https://hh.ru,Рабочий производственного участка
46,https://spb.hh.ru/vacancy/37390319?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,200000руб.,60000руб.,https://hh.ru,Менеджер по продажам / Менеджер по работе с клиентами
47,https://spb.hh.ru/vacancy/37400088?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,1379бел.руб.,748бел.руб.,https://hh.ru,Продавец-консультант
48,https://spb.hh.ru/vacancy/35263549?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,800бел.руб.,https://hh.ru,"Продавец-консультант бытовой техники (ст.м.""Могилёвская"")"
49,https://spb.hh.ru/vacancy/36118137?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Ведущий специалист по работе с клиентами
50,https://spb.hh.ru/vacancy/37387843?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,110000руб.,85000руб.,https://hh.ru,Водитель
51,https://spb.hh.ru/vacancy/37409384?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,3000бел.руб.,1500бел.руб.,https://hh.ru,Менеджер проектов
52,https://www.superjob.ru/vakansii/rabochij-po-kompleksnomu-obsluzhivaniyu-i-remontu-zdanij-5-razryada-33868301.html,30000руб.,,https://www.superjob.ru,Рабочий по комплексному обслуживанию и ремонту зданий 5 разряда
53,https://www.superjob.ru/vakansii/rabochij-po-obsluzhivaniyu-zdaniya-24940582.html,25000руб.,,https://www.superjob.ru,Рабочий по обслуживанию здания
54,https://www.superjob.ru/vakansii/santehnik-30717954.html,,,https://www.superjob.ru,Сантехник / Рабочий
55,https://www.superjob.ru/vakansii/dorozhnyj-rabochij-33882923.html,,35000руб.,https://www.superjob.ru,Дорожный рабочий
56,https://www.superjob.ru/vakansii/rabochij-po-kompleksnomu-obsluzhivaniyu-zdaniya-27849818.html,30000руб.,25000руб.,https://www.superjob.ru,Рабочий по комплексному обслуживанию здания
57,https://www.superjob.ru/vakansii/merchendajzer-33832067.html,,7200руб.,https://www.superjob.ru,Мерчендайзер (на неполный рабочий день)
58,https://www.superjob.ru/vakansii/rabochij-po-kompleksnomu-obsluzhivaniyu-zdaniya-33942600.html,,27000руб.,https://www.superjob.ru,Рабочий по комплексному обслуживанию здания
